Institution,CUET 2024 GP,SUST 2024 GP,NCPC 2024 GP,IUT 2024 GP,BUET 2024 GP,ICPC 2024 GP,KUET 2025 GP,CGPA
DHAKA INTERNATIONAL UNIVERSITY,,,,0.47951029854258886,,0.013153441945033366,0.3201248978456975,0.17424308880102304
BANGLADESH UNIVERSITY,,,,0.4605216907203023,,0.020933395144134583,,0.1469775802339357
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,0.4605216907203023,,0.011190462026510625,,0.1460161859477184
GONO BISHWABIDYALAY (GONO UNIVERSITY),,,,,,0.13428908282468038,,0.13428908282468038
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,0.08111570118006195,,0.08111570118006195
KHWAJA YUNUS ALI UNIVERSITY,,,,,,0.013771053342341718,0.20525470358221357,0.06620896505311115
BANGLADESH OPEN UNIVERSITY,,,,,,0.06232059398288497,,0.06232059398288496
DAFFODIL INSTITUTE OF IT (DIIT),,,0.10972395783791584,,,0.04160572534748657,,0.052553472158203884
ASIAN UNIVERSITY OF BANGLADESH,,,,,,0.05092046265249498,,0.05092046265249498
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,0.0
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,0.0
BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,,,,,,,,0.0
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,0.0
