Institution,Score Rank In SUST 2026,Score Rank In DUET 2026,Score Rank In NSU 2026,Score Rank In NDUB 2026,Score Rank In BUET 2026,Score Rank In ICPC 2025,Score Rank In CUET 2025,Score Rank In MU 2025,Score Rank In UU 2025,Score Rank In DUET 2025,Score Rank In AUST 2025,Score Rank In UIU 2025,Score Rank In KUET 2025,Score Rank In ICPC 2024,Score Rank In BUET 2024,Score Rank In IUT 2024,Score Rank In NCPC 2024,Score Rank In SUST 2024,Score Rank In CUET 2024
PORT CITY INTERNATIONAL UNIVERSITY,50,68,,,,49,49,39,,68,47,40,57,32,,,59,,31
SOUTHEAST UNIVERSITY,51,47,,46,51,76,40,,47,63,45,,,35,13,40,30,51,
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,52,73,,48,,91,,,,57,,,59,81,48,24,47,,
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,53,,,,45,22,,,,36,10,46,37,40,28,49,18,47,
TEJGAON COLLEGE,54,57,,,,78,,,,58,,,,71,,,54,,
NORTH EAST UNIVERSITY BANGLADESH,55,,,50,,83,,34,,59,,33,64,56,43,48,52,45,32
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),56,,,58,,44,,,,,,,,51,,,58,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,57,52,46,40,53,47,41,,37,61,49,44,44,60,50,55,38,22,37
"INDEPENDENT UNIVERSITY, BANGLADESH",58,54,42,,55,68,,,53,,57,30,,66,51,32,36,28,46
"BEGUM ROKEYA UNIVERSITY, RANGPUR",59,,,,,86,,,,38,48,36,39,29,37,31,24,43,43
PRIME UNIVERSITY,60,63,34,45,50,48,,,39,48,22,49,60,85,,34,,,44
NOTRE DAME UNIVERSITY BANGLADESH,61,,,57,,92,,,,,53,,64,94,,64,,,
INSTITUTE OF SCIENCE AND TECHNOLOGY,62,70,46,,,54,46,,48,47,24,42,40,34,39,25,41,,9
FENI UNIVERSITY,63,80,,60,58,81,47,37,45,79,34,53,,62,45,,,,18
BANGLADESH UNIVERSITY OF PROFESSIONALS,64,65,41,56,48,101,,39,,75,54,21,48,49,,53,64,41,50
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,65,66,,38,,46,,,,,,,53,91,44,,,,
DHAKA INTERNATIONAL UNIVERSITY,66,81,46,37,57,71,44,36,46,51,44,25,49,94,,62,,,
BGC TRUST UNIVERSITY BANGLADESH,67,48,45,59,,42,,,,,,,,90,,,61,,
R. P. SHAHA UNIVERSITY,68,,,,,85,,,,79,,43,33,44,,,53,,47
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,69,61,46,,,79,48,38,56,67,41,54,54,94,,44,,,52
JAMALPUR SCIENCE AND TECHNOLOGY UNIVERSITY,70,49,32,,,61,,,,,,,,,,,,,
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,71,76,,,,70,53,,,65,52,55,55,94,51,42,66,48,51
ASIAN UNIVERSITY OF BANGLADESH,71,82,46,,,102,,,,78,,,,76,,,,,
INTERNATIONAL UNIVERSITY OF SCHOLARS,71,,46,,,55,,,,,,,,72,,,,,
MANARAT INTERNATIONAL UNIVERSITY,71,30,46,53,59,102,,,,,,,,94,,,,,
"RABINDRA MAITREE UNIVERSITY, KUSHTIA",71,,,,,,,,,,,,,,,,,,
SYLHET INTERNATIONAL UNIVERSITY,71,,,,,90,51,39,,73,,58,,80,,46,51,33,
SONARGAON UNIVERSITY,71,59,,,,36,,,51,54,,,,55,,,57,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,77,,,,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,94,,,,,
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,,,,,,,,,,,,,,58,,56,,,38
BANGLADESH AGRICULTURAL UNIVERSITY,,60,37,,,82,45,,49,64,,,47,82,,64,,,
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,46,,47,,73,,52,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,,,,,
BANGLADESH OPEN UNIVERSITY,,64,,,,93,,39,,,,58,,70,,,,,
BANGLADESH UNIVERSITY,,75,,,,84,,,55,71,56,56,,94,,64,,,
BANGLADESH UNIVERSITY OF TEXTILES,,,,,,,,,,,,,,68,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,,,,,,,,,,,,,,94,,,,,
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,,,,,,,,,,79,,,,94,,,,,
CANADIAN UNIVERSITY OF BANGLADESH,,,,,,,,,,,,58,,94,,57,,,
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,,45,,,,98,,,,50,,51,,65,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,94,,,,,
CENTRAL WOMENS UNIVERSITY,,,,,,,,,,,,,,94,,,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,,,,,,,,,,79,,,,64,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,,,,,,73,,,56,66,,,,94,,,,53,
"CITY UNIVERSITY, BANGLADESH",,,,,,,,,,,,,,,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",,,,,,97,,,,,,,,94,,,,,
CUMILLA POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,,,
DAFFODIL INSTITUTE OF IT (DIIT),,78,,,,102,,,,56,,,,79,,,60,,
DAFFODIL INTERNATIONAL COLLEGE,,,,,,,,,,79,,,,,,,,,
DAFFODIL POLYTECHNIC INSTITUTE,,74,,,,,,,,,,,,,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",,,,,,102,,,,,,,,,,,,,
DHAKA CITY COLLEGE,,62,,34,,62,,,,34,,,56,37,49,,20,42,49
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,,,,,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,,,,,
EUROPEAN UNIVERSITY OF BANGLADESH,,,,,,63,,,,79,,,,,,,,,
FAREAST INTERNATIONAL UNIVERSITY,,,,,,,,,,,,,,86,,,,,
FARIDPUR ENGINEERING COLLEGE,,58,,,,50,,,,,,,41,45,,,62,,
GERMAN UNIVERSITY BANGLADESH,,,,,,,,,,,,,,94,,,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),,,,,,102,,,,,,,52,54,,,,,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),,31,,,36,60,37,,,32,,,34,52,31,,25,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,,,,,
HAMDARD UNIVERSITY BANGLADESH,,,,,,100,,,,,,,,94,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,,,,,,,,,,,,,,94,,,,,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",,,,,,88,,,,69,,,,94,,,,,
INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (ICST),,,,,,,,,,,,,,,,,,,
INTERNATIONAL STANDARD UNIVERSITY,,,,,,102,,,,,,,,94,,58,,,
JAGANNATH UNIVERSITY,,37,31,55,32,33,,,33,45,32,28,36,42,25,20,43,,
KHWAJA YUNUS ALI UNIVERSITY,,71,,,,66,,,52,70,,57,62,94,,,,,
KISHOREGANJ UNIVERSITY,,,38,49,42,65,30,,,52,51,38,42,77,40,45,50,38,42
MODEL INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,
NATIONAL UNIVERSITY,,,,,,,,,,,,,,,,,,35,
"NORTH WESTERN UNIVERSITY, KHULNA",,,,,,67,,,,,,,,53,,,,,
PABNA ENGINEERING COLLEGE,,,,,,102,,,,,,,,,,,,,
PABNA GOVERNMENT POLYTECHNIC INSTITUTE,,82,,,,,,,,,,,,,,,,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,,69,,,,102,,,56,,,,,,,,,,
PRESIDENCY UNIVERSITY,,,46,54,54,53,,,50,55,,,,94,,,,,
PRIMEASIA UNIVERSITY,,,,,,,,,,,,,,94,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,79,,,,,,,,79,,,,94,,64,,,
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,,25,,,,38,34,,,,,,,39,,,39,,29
RANGPUR ENGINEERING COLLEGE,,,,,,77,,,,72,,,46,83,,,,,
RANGPUR POLYTECHNIC INSTITUTE,,55,,,,69,,,,,,,,84,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,,,,,,,,,,,,,,93,,64,,,
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,,51,,,,102,,,54,62,46,41,61,94,,43,63,50,40
SHEIKH BURHANUDDIN POST GRADUATE COLLEGE,,,,,,,,,,,,,,,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,,,,,,,,,,,,,,94,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,,,,,
SOUTHERN UNIVERSITY BANGLADESH,,,,,,99,,,,,,,,92,,,,,
STAMFORD UNIVERSITY BANGLADESH,,67,,,,102,,,,,,,,,,,,,
STATE UNIVERSITY OF BANGLADESH,,,,,,95,,,,,,,,89,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,,,,,,,,,,,,,64,,,,,,
TEESTA UNIVERSITY,,,,,,87,,,,,,,,94,,,,,
THAKURGAON POLYTECHNIC INSTITUTE,,72,,,,96,,,,,,,,,,,,,
TMSS ENGINEERING COLLEGE,,,,,,102,,,,,,,,94,,63,,,
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,,,,,,,,,,79,,,,,,,,,
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",,,,,,102,,,,,,,,57,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF GLOBAL VILLAGE,,,,,,80,,,,76,,,,74,,60,,,
UNIVERSITY OF LIBERAL ARTS BANGLADESH,,,46,,,102,,,,,,,64,61,,54,,,
UNIVERSITY OF SCIENCE & TECHNOLOGY CHITTAGONG,,,,,,,,,,,,,,,,,,,
WORLD UNIVERSITY OF BANGLADESH,,,,,,59,,,,,,,,94,,,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,89,,,,,,,,94,,,,,
