Institution,Rating After DUET 2025,Rating After AUST 2025,Rating After UIU 2025,Rating After KUET 2025,Rating After ICPC 2024,Rating After BUET 2024,Rating After IUT 2024,Rating After NCPC 2024,Rating After SUST 2024,Rating After CUET 2024
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,3076,3084,3116,3143,3182,3201,3140,3126,3103,2850
UNIVERSITY OF DHAKA,2964,3004,3003,2995,3002,2815,2555,2461,2098,1668
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2532,2473,2430,2411,2360,2474,2614,2821,2865,2802
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2401,2405,2397,2385,2423,2150,1806,1632,1403,1881
BRAC UNIVERSITY,2295,2295,2325,2294,2231,2355,2603,2578,2779,2828
ISLAMIC UNIVERSITY OF TECHNOLOGY,2229,2175,2186,2160,2218,2175,2138,2174,2167,1941
COMILLA UNIVERSITY,2115,2112,2178,2217,2197,1975,1848,1488,1578,906
JAHANGIRNAGAR UNIVERSITY,1978,2002,2009,2007,2004,2236,2038,1918,1710,1472
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1860,1954,2033,1964,1982,2508,2084,2102,1968,867
DAFFODIL INTERNATIONAL UNIVERSITY,1735,1713,1739,1756,1742,1313,820,627,709,459
KHULNA UNIVERSITY,1580,1604,1659,1676,1660,1635,1460,725,,
UNIVERSITY OF RAJSHAHI,1452,1344,1370,1388,1428,1709,1913,2046,2153,2673
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1422,1350,1351,1351,1386,1392,1613,1557,1703,1369
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1416,1383,1309,1269,1230,1615,1921,1669,1657,1779
EAST WEST UNIVERSITY,1388,1299,1402,1383,1387,2033,1470,1623,1909,2186
ISLAMIC UNIVERSITY,1315,1295,1342,1397,1446,1183,869,911,1235,
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1297,1438,1553,1553,1443,2111,1426,1180,1255,930
UNIVERSITY OF CHITTAGONG,1273,1263,1231,1225,1222,535,681,801,812,1009
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,1186,1203,1289,1226,1244,2114,1721,1816,1862,1895
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1156,1066,1057,1011,1027,893,866,916,844,473
SYLHET ENGINEERING COLLEGE,1155,1139,1157,1173,1145,992,1041,1171,1368,1854
NORTH SOUTH UNIVERSITY,996,960,934,756,712,1335,1331,1508,1638,1495
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,765,759,773,773,769,601,466,529,633,
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,722,687,701,701,718,694,468,484,584,325
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,714,654,618,532,487,719,816,766,912,445
UNIVERSITY OF BARISAL,707,703,728,728,752,813,1181,1104,1335,440
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),689,,,,,,,,,
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,686,672,718,716,690,1033,1310,1303,1537,1438
NETROKONA UNIVERSITY,685,670,683,706,734,293,293,364,445,584
LEADING UNIVERSITY,669,545,622,622,608,1203,846,642,698,894
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,666,532,595,543,541,1313,1663,1697,1902,1930
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,657,599,630,630,622,878,650,400,481,573
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,630,584,551,448,435,985,619,734,584,
EAST DELTA UNIVERSITY,605,590,593,600,597,583,545,581,688,760
NATIONAL UNIVERSITY,572,572,572,572,572,572,572,572,572,
GREEN UNIVERSITY OF BANGLADESH,543,591,646,661,631,1152,480,482,579,216
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,490,484,345,354,367,758,570,675,230,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",476,461,474,483,502,474,501,479,322,235
SOUTHEAST UNIVERSITY,461,542,658,658,656,1317,349,368,136,
INSTITUTE OF SCIENCE AND TECHNOLOGY,448,456,461,475,491,759,1039,1345,1892,1892
METROPOLITAN UNIVERSITY,424,393,383,272,243,473,629,752,829,989
PORT CITY INTERNATIONAL UNIVERSITY,385,387,401,411,429,325,325,382,539,539
DHAKA CITY COLLEGE,357,314,310,310,334,408,581,543,318,196
UNITED INTERNATIONAL UNIVERSITY,348,361,384,365,262,582,697,703,858,841
JAGANNATH UNIVERSITY,344,382,435,417,420,987,902,173,,
UNIVERSITY OF ASIA PACIFIC,321,336,348,329,342,544,456,473,543,249
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,285,287,290,290,290,397,397,438,561,561
PREMIER UNIVERSITY,269,206,196,196,206,363,363,411,550,550
BANGLADESH UNIVERSITY OF PROFESSIONALS,261,331,341,124,124,262,262,264,323,192
PRIME UNIVERSITY,232,215,89,80,80,347,347,230,230,230
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,229,168,136,136,136,326,235,148,200,200
DHAKA INTERNATIONAL UNIVERSITY,213,245,241,47,33,181,181,,,
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,195,235,240,229,105,142,142,58,,
VARENDRA UNIVERSITY,190,173,140,140,139,304,304,304,422,
BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY,186,232,269,269,260,703,643,643,,
R. P. SHAHA UNIVERSITY,178,202,202,198,157,136,136,154,208,208
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,160,55,58,39,34,185,185,,,
FENI UNIVERSITY,160,182,173,178,178,504,1139,1139,1139,1139
NORTH EAST UNIVERSITY BANGLADESH,160,173,184,132,137,286,283,334,406,518
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,156,29,31,31,31,133,133,133,133,
KISHOREGANJ UNIVERSITY,153,154,174,150,150,359,319,323,391,244
"INDEPENDENT UNIVERSITY, BANGLADESH",153,184,199,130,134,339,465,446,508,212
FARIDPUR ENGINEERING COLLEGE,150,150,150,150,147,31,31,31,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,145,141,160,152,155,410,541,598,707,414
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,131,76,80,52,52,236,236,,,
SONARGAON UNIVERSITY,116,69,69,69,69,57,57,57,,
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,114,59,59,44,44,,,,,
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,114,106,98,66,64,197,197,171,208,260
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,108,101,65,63,57,250,250,182,182,182
MYMENSINGH ENGINEERING COLLEGE,105,17,21,21,22,141,141,141,141,
BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,98,127,127,11,11,,,,,
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,97,123,158,158,163,412,626,110,,
DAFFODIL INSTITUTE OF IT (DIIT),95,23,23,23,23,35,35,35,,
PRESIDENCY UNIVERSITY,95,0,0,0,0,,,,,
TEJGAON COLLEGE,94,32,32,32,33,64,64,64,,
UTTARA UNIVERSITY,87,97,92,67,60,245,245,,,
