Institution,Rating,ICPC 2025 Point,CUET 2025 Point,MU 2025 Point,UU 2025 Point,DUET 2025 Point,AUST 2025 Point,UIU 2025 Point,KUET 2025 Point,ICPC 2024 Point,BUET 2024 Point,IUT 2024 Point,NCPC 2024 Point,SUST 2024 Point,CUET 2024 Point
CITY UNIVERSITY,255,49,294,530,,107,,,84,34,,,,,
INSTITUTE OF SCIENCE AND TECHNOLOGY,250,82,192,,166,367,679,257,166,417,408,844,203,,1892
VARENDRA UNIVERSITY,246,237,,,,313,370,,,129,,,81,422,
BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,243,,,,,,,400,,11,,,,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",240,9,,,,552,179,354,255,507,443,478,694,390,235
NORTH EAST UNIVERSITY BANGLADESH,237,10,,459,,277,,480,0,67,289,261,71,250,518
DHAKA INTERNATIONAL UNIVERSITY,234,22,288,326,180,325,285,795,113,0,,181,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,228,131,312,,417,255,168,237,134,50,164,217,269,910,414
PRIME UNIVERSITY,223,126,,,306,353,707,158,77,11,,399,,,230
DHAKA CITY COLLEGE,216,53,,,,635,,,91,319,167,,825,406,196
BANGLADESH UNIVERSITY OF PROFESSIONALS,210,4,,0,,105,152,1101,115,106,,226,28,414,192
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,194,90,107,,390,489,,,,25,,,,133,
PRESIDENCY UNIVERSITY,190,,,,160,300,,,,0,,,,,
FENI UNIVERSITY,173,11,184,288,184,0,427,119,,49,262,,,,1139
BGC TRUST UNIVERSITY BANGLADESH,173,182,,,,,,,,10,,,34,,
PORT CITY INTERNATIONAL UNIVERSITY,162,117,174,0,,170,182,267,87,434,,,35,,539
UTTARA UNIVERSITY,158,6,300,,242,100,165,223,111,41,,245,,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),146,152,,,,,,,,79,,,36,,
"INDEPENDENT UNIVERSITY, BANGLADESH",137,30,,,147,,93,533,,43,0,441,285,686,212
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,137,140,,,,,,,102,9,267,,,,
BANGLADESH AGRICULTURAL UNIVERSITY,131,10,240,,163,236,,,118,21,,0,,,
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,128,12,177,218,0,181,303,86,100,0,,281,,,182
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,124,,,,,,,,,61,,209,,,406
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,117,7,,,,288,,,80,21,171,879,110,,
FARIDPUR ENGINEERING COLLEGE,113,105,,,,,,,163,149,,,31,,
R. P. SHAHA UNIVERSITY,111,10,,,,0,,246,414,158,,,66,,208
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,108,0,,,144,250,213,258,76,0,,283,30,139,260
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,100,5,,,,332,,134,,44,,,,,
MYMENSINGH ENGINEERING COLLEGE,98,15,,,,339,,,0,11,,,,141,
DAFFODIL INSTITUTE OF IT (DIIT),86,0,,,,294,,,,22,,,35,,
TEJGAON COLLEGE,84,13,,,,282,,,,32,,,64,,
INTERNATIONAL UNIVERSITY OF SCHOLARS,77,81,,,,,,,,30,,,,,
KHWAJA YUNUS ALI UNIVERSITY,77,37,,,150,164,,72,73,0,,,,,
BANGLADESH UNIVERSITY,72,10,,,139,160,140,76,,0,,0,,,
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,67,23,0,,,188,158,79,98,0,0,288,0,221,188
SYLHET INTERNATIONAL UNIVERSITY,64,8,109,0,,109,,0,,21,,271,77,596,
WORLD UNIVERSITY OF BANGLADESH,62,65,,,,,,,,0,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,53,18,,,0,185,,,,0,,,,130,
CANADIAN UNIVERSITY OF BANGLADESH,51,,,,,,,0,,0,,205,,,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",50,9,,,,167,,,,0,,,,,
NORTHERN UNIVERSITY BANGLADESH,48,21,,,,,,126,141,48,,0,,,
EUROPEAN UNIVERSITY OF BANGLADESH,48,50,,,,0,,,,,,,,,
RANGPUR ENGINEERING COLLEGE,43,14,,,,111,,,120,12,,,,,
"NORTH WESTERN UNIVERSITY, KHULNA",41,36,,,,,,,,72,,,,,
UNIVERSITY OF GLOBAL VILLAGE,37,11,,,,102,,,,29,,189,,,
BANGLADESH UNIVERSITY OF TEXTILES,35,,,,,,,,,35,,,,,
NOTRE DAME UNIVERSITY BANGLADESH,34,6,,,,,155,,0,0,,0,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,32,,,,,0,,,,46,,,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),31,0,,,,,,,104,72,,,,,
ASIAN UNIVERSITY OF BANGLADESH,30,0,,,,98,,,,27,,,,,
UNIVERSITY OF LIBERAL ARTS BANGLADESH,25,0,,,,,,,0,50,,222,,,
RANGPUR POLYTECHNIC INSTITUTE,24,25,,,,,,,,11,,,,,
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",20,0,,,,,,,,66,,,,,
INTERNATIONAL STANDARD UNIVERSITY,19,0,,,,,,,,0,,196,,,
TMSS ENGINEERING COLLEGE,17,0,,,,,,,,0,,178,,,
FAREAST INTERNATIONAL UNIVERSITY,11,,,,,,,,,11,,,,,
BANGLADESH OPEN UNIVERSITY,10,6,,0,,,,0,,33,,,,,
TEESTA UNIVERSITY,9,9,,,,,,,,0,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,8,,,,,,,,,9,,0,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,8,,,,,,,,0,,,,,
STATE UNIVERSITY OF BANGLADESH,6,6,,,,,,,,10,,,,,
THAKURGAON POLYTECHNIC INSTITUTE,5,5,,,,,,,,,,,,,
SOUTHERN UNIVERSITY BANGLADESH,5,5,,,,,,,,9,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",5,5,,,,,,,,0,,,,,
HAMDARD UNIVERSITY BANGLADESH,4,5,,,,,,,,0,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,,,,,,,,0,,,,,
GERMAN UNIVERSITY BANGLADESH,0,,,,,,,,,0,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",0,0,,,,,,,,,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,0,,,,,,,,,0,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,,,,,,,,0,,,,,
CENTRAL WOMENS UNIVERSITY,0,,,,,,,,,0,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,0,,,,,0,,,,0,,,,,
DAFFODIL INTERNATIONAL COLLEGE,0,,,,,0,,,,,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,0,,,,,,,,,0,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,,,,0,,,,0,,0,,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,0,0,,,0,,,,,,,,,,
MANARAT INTERNATIONAL UNIVERSITY,0,0,,,,,,,,0,,,,,
PRIMEASIA UNIVERSITY,0,,,,,,,,,0,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,0,,,,,,,,,0,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,0,,,,,,,,0,,,,,,
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,0,,,,,0,,,,,,,,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,,
