Institution,CGPA After DUET 2025,CGPA After AUST 2025,CGPA After UIU 2025,CGPA After KUET 2025,CGPA After ICPC 2024,CGPA After BUET 2024,CGPA After IUT 2024,CGPA After NCPC 2024,CGPA After SUST 2024,CGPA After CUET 2024
BANGLADESH OPEN UNIVERSITY,0.031602309097106165,0.031602309097106165,0.031602309097106165,0.03331175868917159,0.03331175868917159,0.0,0.0,0.0,0.0,0.0
INTERNATIONAL UNIVERSITY OF SCHOLARS,0.030159226788791776,0.030159226788791776,0.030159226788791776,0.030159226788791776,0.030159226788791776,0.0,0.0,0.0,0.0,0.0
INTERNATIONAL STANDARD UNIVERSITY,0.027362444146177528,0.027362444146177528,0.03621120140987954,0.03621120140987954,0.03621120140987954,0.1964918837735539,0.1964918837735539,0.0,0.0,0.0
CANADIAN UNIVERSITY OF BANGLADESH,0.02705487240999643,0.027054872409996426,0.03583032716560829,0.03770429134722984,0.03770429134722984,0.20459379818154302,0.20459379818154302,0.0,0.0,0.0
TMSS ENGINEERING COLLEGE,0.024733482315008288,0.024733482315008284,0.03273205803150359,0.03273205803150359,0.03273205803150359,0.17761310014532383,0.17761310014532383,0.0,0.0,0.0
RANGPUR POLYTECHNIC INSTITUTE,0.0111544295426735,0.011154429542673502,0.011154429542673502,0.011154429542673502,0.011154429542673502,0.0,0.0,0.0,0.0,0.0
FAREAST INTERNATIONAL UNIVERSITY,0.010931340951820032,0.010931340951820032,0.010931340951820032,0.010931340951820032,0.010931340951820032,0.0,0.0,0.0,0.0,0.0
BGC TRUST UNIVERSITY BANGLADESH,0.010708240680457415,0.010708240680457415,0.010708240680457415,0.010708240680457415,0.011408019556972276,0.034003806824297635,0.034003806824297635,0.034003806824297635,0.0,0.0
STATE UNIVERSITY OF BANGLADESH,0.009881066423261633,0.009881066423261631,0.009881066423261631,0.009881066423261631,0.009881066423261631,0.0,0.0,0.0,0.0,0.0
SOUTHERN UNIVERSITY BANGLADESH,0.009113981055661613,0.009113981055661611,0.009113981055661611,0.009113981055661611,0.009113981055661611,0.0,0.0,0.0,0.0,0.0
RTM AL-KABIR TECHNICAL UNIVERSITY,0.00866778258366307,0.00866778258366307,0.008603146503578605,0.008603146503578605,0.008603146503578605,0.0,0.0,0.0,0.0,0.0
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMDARD UNIVERSITY BANGLADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAHMANBARIA POLYTECHNIC INSTITUTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANGLADESH DIGITAL UNIVERSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARISAL INFORMATION TECHNOLOGY COLLEGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL WOMENS UNIVERSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEADWAY ENGINEERING INSTITUTE | SYLHET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAFFODIL INTERNATIONAL COLLEGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTERN UNIVERSITY OF BANGLADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GERMAN UNIVERSITY BANGLADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHAKA RESIDENTIAL MODEL COLLEGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPEAN UNIVERSITY OF BANGLADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRIMEASIA UNIVERSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANARAT INTERNATIONAL UNIVERSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAKURGAON POLYTECHNIC INSTITUTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEESTA UNIVERSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMT ENGINEERING COLLEGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORLD UNIVERSITY OF BANGLADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
